,Cites,Authors,Title,Year,Source,Publisher,Type,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,"Contains keyword ""SEI""?","Contains keyword ""cathode""?","Contains keyword ""anode""?","Contains keyword ""efficiency""?","Contains keyword ""electrode""?"
10,102,"T Brousse, P Fragnaud, R Marchand?€?",All oxide solid-state lithium-ion cells,1997,Journal of power ?€?,Elsevier,,4.43,26,4,23,"?€? lithiated perovskite Li~,Lao(,7 ,TiO3. In this work we present results on using the perovskite lithium-ion conductor Li. 33Lal, 5,TiO3 as the electrolyte in an all oxide lithium-ion battery. Literature work had already indicated that ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
11,93,"E Deiss, A Wokaun, JL Barras, C Daul?€?","Average Voltage, Energy Density, and Specific Energy of Lithium?€?Ion Batteries: Calculation Based on First Principles",1997,Journal of the ?€?,iopscience.iop.org,,4.04,19,5,23,"?€? Acta., 37, 393 (1992). 10. F. Li and W. J Albery, Langmuir, 8, 1645 (1992). 11 ?€? Introduction The lithium-ion battery, also referred to as a rocking chair, shuttle cock, or intercalation battery (see, eg, Ref. 1 and 2) is a promising advanced rechargeable battery ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
12,51,"C Yuqin, L Hong, W Lie, L Tianhong",Irreversible capacity loss of graphite electrode in lithium-ion batteries,1997,Journal of power sources,Elsevier,,2.22,13,4,23,"?€? Chang Yuqin, Li Hong, Wu Lie, Lu Tianhong Changchun lnstttute of Applied Chemistr3', Chmese Academ 3 of Sclences, Changchun 130022 ?€? carbon microbeads heat-treated at 2800??C (MCMB28) as the materials of the carbon anode in the lithium-ion battery were compared ?€?",FALSE,FALSE,TRUE,FALSE,TRUE
13,108,"J Barthel, R Buestrich, HJ Gores?€?",A New Class of Electrochemically and Thermally Stable Lithium Salts for Lithium Battery Electrolytes: IV. Investigations of the Electrochemical Oxidation of Lithium ?€?,1997,Journal of the ?€?,iopscience.iop.org,,4.7,27,4,23,"?€? The existence of the postulated boronium ion is sup- ported by spectroscopic investigations performed at deeply black solutions obtained by preparative electroly- sis of lithium bis[1,2 ?€? 2-)-O,O']borate in PC at a 8 cm 2 Pt electrode and 15 cm 2 Li counterelectrode at 4 V ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
14,105,J Fu,Lithium ion conductive glass-ceramics,1997,"US Patent 5,702,995",Google Patents,,4.57,105,1,23,"?€? production. WO2013109622A1 (en) *, 2012-01-16, 2013-07-25, Ceramatec, Inc, Lithium-ion-conducting materials. US8652692B2 (en), 2005-11-23, 2014-02-18, Polyplus Battery Company, Li/Air non-aqueous batteries. US8828573B2.",FALSE,FALSE,FALSE,FALSE,FALSE
15,129,"Y Ein?€?Eli, SR Thomas, VR Koch",The Role of SO 2 as an Additive to Organic Li?€?Ion Battery Electrolytes,1997,Journal of The Electrochemical ?€?,iopscience.iop.org,,5.61,43,3,23,Previous work has shown that the addition of a large amount of sulfur dioxide (~ 20 weight percent) promotes the reversible intercalation?€?deintercalation of Li ions into graphite in selected nonaqueous electrolytes. These electrolytes were previously considered to be ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
16,82,"Y Ein?€?Eli, SR Thomas, R Chadha?€?",Li?€?Ion Battery Electrolyte Formulated for Low?€?Temperature Applications,1997,Journal of the ?€?,iopscience.iop.org,,3.57,21,4,23,"Abstract Low?€?temperature (< 0 C) applications of Li?€?ion batteries have prompted the search for improved, high?€?conductivity electrolytes. Because the performance of the carbonaceous anode is highly sensitive to changes in electrolyte composition, we focused our efforts on ?€?",FALSE,FALSE,TRUE,FALSE,FALSE
17,99,"Y Shiraishi, I Nakai, T Tsubata, T Himeda, F Nishikawa","In situTransmission X-Ray Absorption Fine Structure Analysis of the Charge?€?Discharge Process in LiMn2O4, a Rechargeable Lithium Battery Material",1997,,Elsevier,,4.3,20,5,23,"?€? Li 0.07 )O 4 , and Li(Mn 1.85 Li 0.15 )O 4 cathode materials of lithium-ion secondary batteries ?€? Li deintercalation leads to the oxidation of Mn 3+ to Mn 4+ and finally to MnO 2 ?€? during the charge?€?discharge process may be responsible for the cyclic instability of the battery material ?€?",FALSE,TRUE,FALSE,FALSE,FALSE
18,84,"X Qiu, X Sun, W Shen, N Chen",Spinel Li1+ xMn2O4 synthesized by coprecipitation as cathodes for lithium-ion batteries,1997,Solid State Ionics,Elsevier,,3.65,21,4,23,"?€? The excess of Li+ could act as a ?€?reservoir' to overcome the loss in capacity during the first charge of the lithium-ion battery [ 15,171. It is believed that Li ,+rMn204 is the most promising candidate cathode material in the next generation of lithium-ion cells ?€?",FALSE,TRUE,FALSE,FALSE,FALSE
19,73,"GG Amatucci, JM Tarascon",Lithium manganese oxy-fluorides for Li-ion rechargeable battery electrodes,1997,"US Patent 5,674,645",Google Patents,,3.17,37,2,23,"The cycling stability and capacity of li-ion rechargeable batteries are improved by the use of lithium manganese oxy-fluoride electrode component intercalation materials having the general formula, Li 1+ x M y Mn 2-xy O 4-z F z, where M is a transition metal, eg, Co, Cr, or ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
20,38,"AP Johnson, CR Schlaikjer",Rechargeable lithium ion cell,1997,"US Patent 5,601,951",Google Patents,,1.65,19,2,23,An inorganic electrolyte rechargeable electrical storage cell is shown which makes use of non-metallic electrodes in combination with an inorganic electrolyte that includes sulfur dioxide. The electrolyte can be for example a lithium and/or a calcium tetrachloroaluminate ?€?,FALSE,FALSE,FALSE,FALSE,TRUE
21,114,"GB Appetecchi, F Croce, B Scrosati",High-performance electrolyte membranes for plastic lithium batteries,1997,Journal of power sources,Elsevier,,4.96,38,3,23,"?€? include the evaluation of the response, (eg in terms of cycleability and capacity delivery) of lithium-ion electrodes - plasticized graphite anodes and lithium metal oxide ?€? assembling and testing the Li/pPy batteries, the ENEA 'ALPE Project' for in part supporting the work ?€?",FALSE,FALSE,TRUE,FALSE,TRUE
22,83,"S Kawakami, N Kobayashi",Secondary battery using lithium,1997,"US Patent 5,702,845",Google Patents,,3.61,42,2,23,?€? US United States Prior art keywords active material negative electrode lithium secondary battery positive electrode ?€? [Li] WHXSMMKQMYFTQS-UHFFFAOYSA ?€? 229910001416 lithium ion Inorganic materials 0 abstract claims description 19; 238000009830 intercalation Methods 0 ?€?,FALSE,FALSE,FALSE,FALSE,TRUE
23,156,"K Fukuda, K Kikuya, K Isono, M Yoshio",Foliated natural graphite as the anode material for rechargeable lithium-ion cells,1997,Journal of power sources,Elsevier,,6.78,39,4,23,"?€? Natural graphite with a high capacity for lithium-ion cells is obtained by the chemical Ilaking of natural ?€? Flaking o1"" graphite ( lbliated graphite) is obtained via: ( i ) formation of expanded graphite li'om natural ?€? Keywords: Graphite; Carbon: Lithum-ion cells: Battery materials ?€?",FALSE,FALSE,TRUE,FALSE,FALSE
24,23,"NR Avery, KJ Black",Kinetic analysis of capacity fade in lithium/coke half-cells,1997,Journal of power sources,Elsevier,,1,12,2,23,"?€? ( 1 ) Fouache-Ayoub et al. [5] have concluded that the concen- tration polarisation responsible for this diffusion resistance arises predominantly from within the SEI layer, where the electrolyte concentration can fall to a few percent of the bulk concentration ?€?",TRUE,FALSE,FALSE,FALSE,FALSE
25,55,"Y Kusakari, S Nishikawa, S Ishiguro?€?",Histidine-like immunoreactivity in the rat retina,1997,Current eye research,Taylor & Francis,,2.39,14,4,23,"?€? Histidine-like immunoreactivity in the rat retina Yuko Kusakari, Shimpei Nishikawa, Sei-ichi Ishiguro and Makoto Tamai ?€? Histidine immunoreactivity was identified in the gan- glion cell layer (GCL), inner nuclear layer (INL), inner plexi- form layer (IPL), and M??ller cells of rat retina ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
26,37,"M Fava, IS WATANABE?€?",Prismless enamel in human non-erupted deciduous molar teeth: A scanning electron microscopic study,1997,?€? de Odontologia da ?€?,SciELO Brasil,HTML,1.61,12,3,23,"?€? Marcelo FAVA ** Ii-Sei WATANABE *** Fl??vio FAVA-DE-MORAES *** Luciane Ribeiro de Rezende Sucasas da COSTA ?€? The frequency, structure and thickness of the prismless enamel layer in the buccal and lingual surfaces of non-erupted deciduous molar teeth were described ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
27,41,"SK Kim, M Miyayama",Anisotropy in oxide ion conductivity of Bi4V2??? xCoxO11??? ??,1997,Solid State Ionics,Elsevier,,1.78,21,2,23,?€? Author links open overlay panelSei-KiKim MasaruMiyayama. Show more ?€? Conductivity measurements on single crystalline samples confirmed a high anisotropy of the ionic conductivity between the directions parallel and perpendicular to (Bi 2 O 2 ) 2+ layer ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
28,659,"E Peled, D Golodnitsky, G Ardel",Advanced model for solid electrolyte interphase electrodes in liquid and polymer electrolytes,1997,Journal of the Electrochemical ?€?,iopscience.iop.org,,28.65,220,3,23,"?€? The first layer on the electrode surface is the SF1, whereas the second layer is either SEI or PEI ?€? However to a first approximation one layer SEI is characterized by at least four RCelements in series combination and a Warburg impedance ?€?",TRUE,FALSE,FALSE,FALSE,TRUE
29,21,"D Yoshimura, H Ishii, S Narioka, M Sei, T Miyazaki?€?",The electronic structure of porphyrin/metal interfaces studied by UV photoemission spectroscopy,1997,Synthetic metals,Elsevier,,0.91,4,6,23,"The electronic structures of the interface between porphyrin and metal (Mg, Al, Ag and Au) were studied by UV photoemission spectroscopy (UPS). The samples were 5, 10, 15, 20-tetraphenylporphynatozinc (ZnTPP), 5, 10, 15, 20-tetra (4-pyridyl) porphyrin (H 2 T (4-Py) P) ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
30,15,"H Ooki, DP Coon, S Owa, T Sei?€?",Experimental study on nonlinear multiple-exposure method,1997,Optical ?€?,spiedigitallibrary.org,,0.65,3,5,23,"Non-linear multiple exposure (NOLMEX) method for forming a fine line and space pattern is described. The combination of the resist with non-linear photosensitivity and multiple exposures allows us to exceed the optical cut-off frequency, which has never been realized ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
31,64,"J Zhang, GS Wu, S Ishimoto?€?",Expression of major histocompatibility complex molecules in rodent retina. Immunohistochemical study.,1997,?€? & visual science,iovs.arvojournals.org,,2.78,16,4,23,"?€? Jie Zhang, GueyShuang Wu, Sei-ichi Ishimoto, Geeta Pararajasegaram, and Narsing A. Rao ?€? mediated autoimmune dis- order that has been widely investigated in a rodent model.15""17 S-antigen is localized in the retinal photo- receptors and outer plexiform layer.18 EAU ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
32,1,"S Tsunoda, T Kobayashi, S Tsuda, K Hayama?€?",Positive charge type organic photoconductive layer,1997,US Patent ?€?,Google Patents,,0.04,0,5,23,"A positive charge type organic photoconductor in which the surface of the photoconductor having a film thickness of from 10 to 30 pm and containing at least from 15 to 40% by weight of aphthalocyanine type photoconductive compound in a resin binder, is treated with a ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
33,16,"N Ooi, S Tsuji, T Danhara, S Noshiro, Y Ueda?€?","Vegetation change during the early last glacial in Haboro and Tomamae, northwestern Hokkaido, Japan",1997,Review of Palaeobotany ?€?,Elsevier,,0.7,3,6,23,"?€? Nobuo Ooi a.,,l, Sei-ichiro Tsuji h, Tohru Danhara ??, Shuichi Noshiro d, Yayoi Ueda e,2, Mutsuhiko Minaki f a Center for Ecological Research, Kyoto University ?€? A peat layer about 100 m wide and with a maximum thickness of 3 m within the Pleistocene sediments was recorded ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
34,18,"M Ryuto, S Jimi, M Ono, S Naito?€?",All?€?trans?€?retinoic Acid?€?dependent Inhibition of E?€?Cadherin?€?based Cell Adhesion with Concomitant Dephosphorylation of ???€?Catenin in Metastatic Human Renal ?€?,1997,Japanese journal of ?€?,Wiley Online Library,,0.78,4,5,23,"?€? Cadherin-based Cell Adhesion with Concomitant Dephosphorylation of ??-Catenin in Metastatic Human Renal Carcinoma Cells Masahiro Ryuto,1,6 Sei-ichiro Jimi ?€? CPAE cells used in the present study, (a) type I collagen gel, (b) type IV collagen sheets, (c) mono- layer of CPAE ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
35,45,"SJ Koo, SC Ahn, JS Lim, SH Chae, JS Kim?€?","Biological activity of the new herbicide LGC?€?40863 {benzophenone O?€?[2,6?€?bis[(4,6?€?dimethoxy?€?2?€?pyrimidinyl)oxy]benzoyl]oxime}",1997,Pesticide ?€?,Wiley Online Library,,1.96,8,6,23,"?€? Suk Jin Koo,* Sei-Chang Ahn, Jae Suk Lim, Sang Hern Chae, Jung Soo Kim, Jae Hwan Lee & Jin Ho Cho ?€? The combined organic layer was washed with aqueous sodium hydrogen carbonate solution and dried over magnesium sulfate ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
36,3,"SW Park, JW Kim, SK Kim, YT Kim, HJ Yoon",A case of primary retroperioneal mucinous cystadenocarcinoma,1997,Korean Journal of ?€?,KoreaMed,,0.13,1,5,23,"?€? The theory of coelomic metaplasia has gained increasing support in recent years for origin of the epithelial neoplasms of the ovary, and an invagination of the same coelomic or pertioneal epithelial layer with concurrent or subsqeunt metaplasia account for retroperitoneal ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
37,18,"K Mashima, S Kaneko, K Tani","A 16 Electron Cyclobutadiene?€?benzene-1, 2-dithiolate Complex of Palladium (II) Bearing A Two-legged Piano-stool Geometry:(?? 4-C4Me2 (t Bu) 2) Pd (1, 2-S2C6H4)",1997,Chemistry letters,journal.csj.jp,,0.78,6,3,23,"?€? legged Piano-stool Geometry: (?? 4 -C 4 Me 2 ( t Bu) 2 )Pd(1,2-S 2 C 6 H 4 ). Mashima Kazushi 1 , Kaneko Sei-ichi 1 , Tani Kazuhide 1. 1 Department of Chemistry, Faculty of Engineering Science, Osaka UniversityToyonaka, Osaka ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
38,0,"JH Jo, SG Lee, WI Cho, YC Kim, SC Yi?€?",The Addition of Carbon Black to Raney Nickel Hydrogen Electrodes for Alkaline Fuel Cells,1997,Applied Chemistry ?€?,koreascience.or.kr,,0,0,6,23,"?€? Chem., Hanyang Univ.) ; Moon, Sei-Ki (Dept ?€? The effects of carbon black on the electrodes performance and on the structure of the catalyst layer in Raney nickel hydrogen electrodes for alkaline fuel cells were investigated by using electrochemical and nitrogen adsorption ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
39,10,"MW Juzkow, ST Mayer",Design considerations for lithium-ion cells. I. Cell components,1997,The Twelfth Annual Battery ?€?,ieeexplore.ieee.org,,0.43,5,2,23,"?€? anodes. To insure excellent safety and cycling performance, a solvent must be selected that reacts to provide a uniform, thin, stable SEI layer which allow easy migration of lithium ions, but is impervious to solvent molecules ?€?",TRUE,FALSE,TRUE,FALSE,FALSE
40,89,"JPS Bloml??f, LB Bloml??f?€?",Smear layer formed by different root planing modalities and its removal by an ethylenediaminetetraacetic acid gel preparation.,1997,International Journal of ?€?,search.ebscohost.com,,3.87,30,3,23,"?€? Bloml??f J, ??ndsi<og S. Root surface texture ond eariy cell and tissue colonization after different etching modaiities. Eur J Orai Sei 1995:103: 17-24 ?€? The production of a root surfoce smear layer by instru- mentotion and its removoi by citric ooid.J Periodontol 1984:55:443-446. 13 ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
41,95,"S Mori, H Asahina, H Suzuki, A Yonei, K Yokoto",Chemical properties of various organic electrolytes for lithium rechargeable batteries: 1. Characterization of passivating layer formed on graphite in alkyl carbonate ?€?,1997,Journal of power sources,Elsevier,,4.13,19,5,23,?€? This report focuses on the electrochemical stability of alkyl carbonate-based electrolytes and the char- acterization of the passivating layer formed on graphite. The formation of a passivating film (SEI) on the surface of the carbon anode at the first charge is an important process ?€?,TRUE,FALSE,TRUE,FALSE,FALSE
42,51,"HE Evans, A Strawbridge, RA Carolan?€?",Creek effects on the spallation of an alumina layer from a NiCrA1Y coating,1997,Materials Science and ?€?,Elsevier,,2.22,13,4,23,Page 1. MATERIALS SCIENCE & ENGINEERIHG ELS EVI ER Materials Science and Engineering A225 (1997) 1-8 I I Creep effects on the spallation of an alumina layer from a ?€? 1997 Elsevier Science SA Keywords: Alumina layer; Creep deformation; Spallation 1. Introduction ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
43,334,"BA Johnson, RE White",Characterization of commercially available lithium-ion batteries,1998,Journal of power sources,Elsevier,,15.18,167,2,22,"?€? Abstract. With the aggressive growth of the lithium-ion battery market, several companies have recently offered their version of the lithium-ion battery for consumer purchase. This paper describes the physical design, rate, cycle ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
44,165,"H Ito, Y Hino, N Tashiro, M Hagiwara, K Mitsui?€?",Battery set structure and charge/discharge control apparatus for lithium-ion battery,1998,US Patent ?€?,Google Patents,,7.5,28,6,22,"In a battery-driven portable computer, a battery pack is constituted by m battery sets connected in series each including n lithium-ion secondary battery cells connected in parallel. A voltage monitor for monitoring the voltage of the terminal electrode of each battery ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
45,1327,"P Arora, RE White, M Doyle",Capacity fade mechanisms and side reactions in lithium?€?ion batteries,1998,Journal of the Electrochemical ?€?,iopscience.iop.org,,60.32,442,3,22,"?€? of metallic lithium, Chen and Evans carried out a thermal analysts of lithium- ion batteries during ?€? was to predict the poten- tial as a function of fractional occupancy of intercalated lithium. The overcharge protection for a Li/TiS, cell using redox additives has been theoretically ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
46,83,"WK Behl, EJ Plichta",Stability of aluminum substrates in lithium-ion battery electrolytes,1998,Journal of power sources,Elsevier,,3.77,42,2,22,The stability of aluminum positive electrode substrates in rechargeable lithium-ion batteries was investigated in solutions of lithium imide salt in ethylene carbonate?€?propylene carbonate?€?dimethyl carbonate (20: 20: 60 vol.%) using the technique of controlled potential ?€?,FALSE,FALSE,FALSE,FALSE,TRUE
47,125,"S Mukerjee, TR Thurston, NM Jisrawi?€?",Structural Evolution of Li x Mn2 O 4 in Lithium?€?Ion Battery Cells Measured In Situ Using Synchrotron X?€?Ray Diffraction Techniques,1998,Journal of The ?€?,iopscience.iop.org,,5.68,31,4,22,"We describe synchroton based X?€?ray diffraction techniques and issues related to in situ studies of intercalation processes in battery electrodes. We then demonstrate the utility of this technique, through a study of two batches of cathode materials. The structural evolution ?€?",FALSE,TRUE,FALSE,FALSE,TRUE
48,138,"CR Yang, YY Wang, CC Wan",Composition analysis of the passive film on the carbon electrode of a lithium-ion battery with an EC-based electrolyte,1998,Journal of power sources,Elsevier,,6.27,46,3,22,"This work examines the formation of a passive film on the carbon electrode of lithium-ion batteries. With a single solvent of EC (ethylene carbonate), the structure of the passive film is found to be (CH 2 OCOOLi) 2. In a DEC (diethyl carbonate) or DMC (dimethyl carbonate) ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
49,79,"C Natarajan, K Setoguchi, G Nogami",Preparation of a nanocrystalline titanium dioxide negative electrode for the rechargeable lithium ion battery,1998,Electrochimica Acta,Elsevier,,3.59,26,3,22,"Titanium dioxide powders with different crystalline forms were prepared from a simple aqueous peroxo route. Amorphous, nanocrystalline and crystalline TiO 2 phases were obtained by heat-treating the precursor, Ti?€?peroxo complex, at different temperatures. The ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
50,82,"B Huang, YI Jang, YM Chiang, DR Sadoway",Electrochemical evaluation of LiCoO2 synthesized by decomposition and intercalation of hydroxides for lithium-ion battery applications,1998,Journal of applied ?€?,Springer,,3.73,21,4,22,LiCoO2 has been synthesized by a solid-state synthesis route involving the decomposition and intercalation of hydroxide precursors generated by precipitation and freeze-drying. Cyclic voltammetry of LiCoO2 obtained by heating at 100?? C for 2h has shown this material ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
51,1272,WH Meyer,Polymer electrolytes for lithium?€?ion batteries,1998,Advanced materials,Wiley Online Library,,57.82,1272,1,22,"?€? ??rocking chair?? cell, in which the lithium metal is replaced by a lithium-ion source.[4 ?€? of such batteries, lithium ions are ??rocked?? between lithium-carbon and lithium??metal oxide ?€? Inser- tion compounds as electrode materials for rocking chair Li batteries have recently been reviewed ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
52,56,"SK McConkey, NA Mitchell, JF Freiman",System using interchangeable nickel-based and lithium ion battery packs,1998,"US Patent 5,831,350",Google Patents,,2.55,19,3,22,?€? 229910001416 lithium ion Inorganic materials 0 title claims abstract description 85; HBBGRARXTFLTSG-UHFFFAOYSA-N Lithium Ion Chemical compound ?€? CjxyZWN0IHN0eWx lPSdvcGFjaXR5OjEuMDtmaWxsOiNGRkZGRkY7c3Ryb2tlOm5vbmUnIHdpZHRoPSc4NScg ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
53,103,KY Cheon,Dual battery charging device for charging nickel metal-hydride and lithium-ion batteries,1998,"US Patent 5,744,937",Google Patents,,4.68,103,1,22,A dual battery charging device for charging two different types of rechargeable batteries including a battery connector which connects with the battery; a charge circuit which supplies a charge current and a charge voltage to the battery connector to charge a battery; ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
54,258,"T Cassagneau, JH Fendler",High density rechargeable lithium?€?ion batteries self?€?assembled from graphite oxide nanoplatelets and polyelectrolytes,1998,Advanced Materials,Wiley Online Library,,11.73,129,2,22,"?€? of the Sony battery (Li-ion shuttling between a layered LiCoO2 cathode and a proprietary carbon anode) included the con- struction of cells that used high-capacity carbonaceous ma- terials and graphite as the intercalation cathode.[5??8] In principle, assuming that lithium atoms ?€?",FALSE,TRUE,TRUE,FALSE,FALSE
55,56,"GB Appetecchi, B Scrosati",A lithium ion polymer battery,1998,Electrochimica acta,Elsevier,,2.55,28,2,22,"With the final goal of developing lithium ion batteries having a plastic configuration, we have prepared and characterized highly conducting polymer electrolytes, as well as graphite anode and chromium-stabilized manganese spinel film electrodes. Laboratory prototypes of ?€?",FALSE,FALSE,TRUE,FALSE,TRUE
56,66,"ED Jeong, MS Won, YB Shim",Cathodic properties of a lithium-ion secondary battery using LiCoO2 prepared by a complex formation reaction,1998,Journal of power sources,Elsevier,,3,22,3,22,"A LiCoO 2 precursor is prepared by a complex formation reaction in a solution that contains LiOH, Co (NO 3) 2, and humic acid it is used as a cathode for a lithium-ion rechargeable battery. Layered LiCoO 2 powders are prepared in air at 700 or 850?? C after preheating the ?€?",FALSE,TRUE,FALSE,FALSE,FALSE
57,237,"JS Hong, H Maleki, S Al Hallaj, L Redey?€?",Electrochemical?€?calorimetric studies of lithium?€?ion cells,1998,Journal of the ?€?,iopscience.iop.org,,10.77,47,5,22,"?€? runaway tests in our laboratory28 have shown that, for Sony-type US18650 lithium-ion cells, the ?€? V, at 105??C (378 K). These results showed that the insertion of Li into the ?€? Pals and Newman2229 presented two models that predict the thermal behavior of lithium/polymer batteries ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
58,416,"P Zhang, T Yokoyama, O Itabashi, TM Suzuki, K Inoue",Hydrometallurgical process for recovery of metal values from spent lithium-ion secondary batteries,1998,Hydrometallurgy,Elsevier,,18.91,83,5,22,"?€? The weight was approximately 13.8 g in one battery ?€? This was followed by single stage lithium scrubbing from the loaded solvent by a chloride solution containing 30 g 1 i of cobalt at an initial pH of 1.0 and an O:A ratio of 10:1, and ?€? Spent Li-ion batteries I Removal of the cases* I ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
