Cites,Title,Year,Publisher,GSRank,CitesPerYear,CitesPerAuthor,AuthorCount,Age
224,TiO2‐(B) Nanotubes as Anodes for Lithium Batteries: Origin and Mitigation of Irreversible Capacity,2012,Wiley Online Library,760,28,45,5,8
224,New nanoconfined galvanic replacement synthesis of hollow Sb@ C yolk–shell spheres constituting a stable anode for high-rate Li/Na-ion batteries,2017,ACS Publications,900,74.67,28,8,3
223,Scalable clean exfoliation of high‐quality few‐layer black phosphorus for a flexible lithium ion battery,2016,Wiley Online Library,134,55.75,28,8,4
223,A novel aluminum–graphite dual‐ion battery,2016,Wiley Online Library,467,55.75,56,4,4
223,A novel aluminum–graphite dual‐ion battery,2016,Wiley Online Library,237,55.75,56,4,4
223,Demonstration of an electrochemical liquid cell for operando transmission electron microscopy observation of the lithiation/delithiation behavior of Si nanowire battery …,2013,ACS Publications,807,31.86,45,5,7
222,"Lithium ion rechargeable batteries: materials, technology, and new applications",2012,books.google.com,668,27.75,222,1,8
221,Twisted aligned carbon nanotube/silicon composite fiber anode for flexible wire‐shaped lithium‐ion battery,2014,Wiley Online Library,200,36.83,37,6,6
221,Functioning Mechanism of AlF3 Coating on the Li- and Mn-Rich Cathode Materials,2014,ACS Publications,301,36.83,37,6,6
220,"A new, safe, high‐rate and high‐energy polymer lithium‐ion battery",2009,Wiley Online Library,120,20,55,4,11
220,Design and construction of three dimensional graphene-based composites for lithium ion battery applications,2015,pubs.rsc.org,194,44,110,2,5
220,Challenges for rechargeable batteries,2011,Elsevier,197,24.44,110,2,9
219,A design of air flow configuration for cooling lithium ion battery in hybrid electric vehicles,2013,Elsevier,164,31.29,219,1,7
217,Synthesis of graphene-multiwalled carbon nanotubes hybrid nanostructure by strengthened electrostatic interaction and its lithium ion battery application,2012,pubs.rsc.org,271,27.13,54,4,8
217,Carbon-coated high capacity layered Li [Li0. 2Mn0. 54Ni0. 13Co0. 13] O2 cathodes,2010,Elsevier,115,21.7,54,4,10
217,Effect of electrolytes on the structure and evolution of the solid electrolyte interphase (SEI) in Li-ion batteries: A molecular dynamics study,2011,Elsevier,561,24.11,72,3,9
216,Few-layer SnS2/graphene hybrid with exceptional electrochemical performance as lithium-ion battery anode,2012,Elsevier,109,27,36,6,8
216,Carbon-coated silicon nanowire array films for high-performance lithium-ion battery anodes,2009,aip.scitation.org,140,19.64,54,4,11
216,A high precision coulometry study of the SEI growth in Li/graphite cells,2011,iopscience.iop.org,659,24,43,5,9
216,Few-layer SnS2/graphene hybrid with exceptional electrochemical performance as lithium-ion battery anode,2012,Elsevier,792,27,36,6,8
216,Flexible SnO2/N‐Doped Carbon Nanofiber Films as Integrated Electrodes for Lithium‐Ion Batteries with Superior Rate Capacity and Long Cycle Life,2016,Wiley Online Library,936,54,31,7,4
214,Ultrathin‐nanosheet‐induced synthesis of 3D transition metal oxides networks for lithium ion battery anodes,2017,Wiley Online Library,61,71.33,31,7,3
214,Si/Ge double-layered nanotube array as a lithium ion battery anode,2012,ACS Publications,135,26.75,31,7,8
214,Three-dimensional thermal finite element modeling of lithium-ion battery in thermal abuse application,2010,Elsevier,179,21.4,36,6,10
213,Implantable pulse generators using rechargeable zero-volt technology lithium-ion batteries,2010,Google Patents,716,21.3,53,4,10
212,Uniform lithium nucleation/growth induced by lightweight nitrogen‐doped graphitic carbon foams for high‐performance lithium metal anodes,2018,Wiley Online Library,737,106,35,6,2
211,"Cooperation between active material, polymeric binder and conductive carbon additive in lithium ion battery cathode",2012,ACS Publications,215,26.38,42,5,8
210,Tortuosity anisotropy in lithium‐ion battery electrodes,2014,Wiley Online Library,88,35,53,4,6
210,Space–charge layer effect at interface between oxide cathode and sulfide electrolyte in all-solid-state lithium-ion battery,2014,ACS Publications,345,35,42,5,6
209,Tin-based materials as advanced anode materials for lithium ion batteries: a review,2011,194.226.210.10,766,23.22,105,2,9
208,Visualization of Electrode–Electrolyte Interfaces in LiPF6/EC/DEC Electrolyte for Lithium Ion Batteries via in Situ TEM,2014,ACS Publications,682,34.67,35,6,6
208,Naturally rolled‐up C/Si/C trilayer nanomembranes as stable anodes for lithium‐ion batteries with remarkable cycling performance,2013,Wiley Online Library,943,29.71,35,6,7
207,Three‐Dimensional Porous Core‐Shell Sn@ Carbon Composite Anodes for High‐Performance Lithium‐Ion Battery Applications,2012,Wiley Online Library,121,25.88,52,4,8
207,Online parameterization of lumped thermal dynamics in cylindrical lithium ion batteries for core temperature estimation and health monitoring,2012,ieeexplore.ieee.org,703,25.88,41,5,8
206,Thermal management of lithium‐ion batteries for electric vehicles,2013,Wiley Online Library,431,29.43,103,2,7
205,Scalable preparation of porous silicon nanoparticles and their application for lithium-ion battery anodes,2013,Springer,171,29.29,34,6,7
205,High-Rate and High-Energy-Density Lithium-Ion Battery Anode Containing 2D MoS2 Nanowall and Cellulose Binder,2013,ACS Publications,302,29.29,103,2,7
205,Lithium-ion batteries: advances and applications,2013,books.google.com,518,29.29,205,1,7
205,Advances and challenges of sodium ion batteries as post lithium ion batteries,2015,pubs.rsc.org,903,41,103,2,5
205,Ultrasmall Fe3O4 Nanoparticle/MoS2 Nanosheet Composites with Superior Performances for Lithium Ion Batteries,2014,Wiley Online Library,979,34.17,41,5,6
205,WS 2@ graphene nanocomposites as anode materials for Na-ion batteries with enhanced electrochemical performances,2014,pubs.rsc.org,626,34.17,68,3,6
205,Amorphous TiO2 Shells: A Vital Elastic Buffering Layer on Silicon Nanoparticles for High‐Performance and Safe Lithium Storage,2017,Wiley Online Library,945,68.33,34,6,3
204,Lithium-ion battery storage for the grid—A review of stationary battery storage system design tailored for applications in modern power grids,2017,mdpi.com,75,68,51,4,3
203,Aligned carbon nanotube‐silicon sheets: A novel nano‐architecture for flexible lithium ion battery electrodes,2013,Wiley Online Library,220,29,41,5,7
202,Experiment-driven electrochemical modeling and systematic parameterization for a lithium-ion battery cell,2010,Elsevier,199,20.2,51,4,10
201,High-capacity lithium-ion battery conversion cathodes based on iron fluoride nanowires and insights into the conversion mechanism,2012,ACS Publications,159,25.13,67,3,8
199,Best practice: performance and cost evaluation of lithium ion battery active materials with special emphasis on energy efficiency,2016,ACS Publications,87,49.75,33,6,4
199,Transparent lithium-ion batteries,2011,National Acad Sciences,728,22.11,40,5,9
199,Direct growth of monodisperse SnO 2 nanorods on graphene as high capacity anode materials for lithium ion batteries,2012,pubs.rsc.org,879,24.88,66,3,8
198,Novel approach to recover cobalt and lithium from spent lithium-ion battery using oxalic acid,2015,Elsevier,79,39.6,66,3,5
198,A new method to estimate the state of charge of lithium-ion batteries based on the battery impedance model,2013,Elsevier,574,28.29,50,4,7
198,Improved cycle life and stability of lithium metal anodes through ultrathin atomic layer deposition surface treatments,2015,ACS Publications,138,39.6,66,3,5
198,Critical Thickness of SiO2 Coating Layer on Core@Shell Bulk@Nanowire Si Anode Materials for Li‐Ion Batteries,2013,Wiley Online Library,288,28.29,50,4,7
198,Single-file diffusion of protein drugs through cylindrical nanochannels,2010,ACS Publications,824,19.8,28,7,10
197,Estimation of state of charge of a lithium-ion battery pack for electric vehicles using an adaptive Luenberger observer,2010,mdpi.com,216,19.7,66,3,10
197,Calendar aging of lithium-ion batteries,2016,iopscience.iop.org,868,49.25,39,5,4
196,General and Controllable Synthesis Strategy of Metal Oxide/TiO2 Hierarchical Heterostructures with Improved Lithium-Ion Battery Performance,2012,nature.com,321,24.5,39,5,8
196,Converting cobalt oxide subunits in cobalt metal-organic framework into agglomerated Co3O4 nanoparticles as an electrode material for lithium ion battery,2010,Elsevier,346,19.6,33,6,10
196,Controlled prelithiation of silicon monoxide for high performance lithium-ion rechargeable full cells,2016,ACS Publications,297,49,28,7,4
195,Contact‐engineered and void‐involved silicon/carbon nanohybrids as lithium‐ion‐battery anodes,2013,Wiley Online Library,141,27.86,33,6,7
195,Theoretical investigations on oxidative stability of solvents and oxidative decomposition mechanism of ethylene carbonate for lithium ion battery use,2009,ACS Publications,173,17.73,33,6,11
195,Critical review of on-board capacity estimation techniques for lithium-ion batteries in electric and hybrid electric vehicles,2015,Elsevier,930,39,49,4,5
194,High-performance supercapacitor and lithium-ion battery based on 3D hierarchical NH 4 F-induced nickel cobaltate nanosheet–nanowire cluster arrays as self …,2013,pubs.rsc.org,285,27.71,32,6,7
193,Novel mixed polyanions lithium-ion battery cathode materials predicted by high-throughput ab initio computations,2011,pubs.rsc.org,244,21.44,32,6,9
193,Electrolytes for lithium and lithium-ion batteries,2014,Springer,586,32.17,48,4,6
193,Lithium‐ion textile batteries with large areal mass loading,2011,Wiley Online Library,700,21.44,39,5,9
193,An aqueous rechargeable lithium battery using coated Li metal as anode,2013,nature.com,953,27.57,39,5,7
193,Uniform Carbon Layer Coated Mn3O4 Nanorod Anodes with Improved Reversible Capacity and Cyclic Stability for Lithium Ion Batteries,2012,ACS Publications,213,24.13,48,4,8
193,Novel dual-salts electrolyte solution for dendrite-free lithium-metal based rechargeable batteries with high cycle reversibility,2014,Elsevier,916,32.17,32,6,6
192,Bottom-up in situ formation of Fe 3 O 4 nanocrystals in a porous carbon foam for lithium-ion battery anodes,2011,pubs.rsc.org,402,21.33,32,6,9
192,Battery-health conscious power management in plug-in hybrid electric vehicles via electrochemical modeling and stochastic control,2012,ieeexplore.ieee.org,687,24,64,3,8
191,A novel method to recycle mixed cathode materials for lithium ion batteries,2013,pubs.rsc.org,995,27.29,48,4,7
190,"A safe, high-rate and high-energy polymer lithium-ion battery based on gelled membranes prepared by electrospinning",2011,pubs.rsc.org,230,21.11,38,5,9
190,Preparation of carbon coated MoS 2 flower-like nanostructure with self-assembled nanosheets as high-performance lithium-ion battery anodes,2014,pubs.rsc.org,396,31.67,32,6,6
190,Li4Ti5O12 hollow microspheres assembled by nanosheets as an anode material for high-rate lithium ion batteries,2009,Elsevier,917,17.27,48,4,11
190,Porous α-Fe2O3 nanorods supported on carbon nanotubes-graphene foam as superior anode for lithium ion batteries,2014,Elsevier,973,31.67,24,8,6
190,Ionic liquid-enhanced solid state electrolyte interface (SEI) for lithium–sulfur batteries,2013,pubs.rsc.org,27,27.14,38,5,7
189,Olivine-type nanosheets for lithium ion battery cathodes,2013,ACS Publications,147,27,24,8,7
189,"X‐ray tomography of porous, transition metal oxide based lithium ion battery electrodes",2013,Wiley Online Library,273,27,47,4,7
189,Conflicting roles of nickel in controlling cathode performance in lithium ion batteries,2012,ACS Publications,886,23.63,32,6,8
189,Effect of solid electrolyte interface (SEI) film on cyclic performance of Li4Ti5O12 anodes for Li ion batteries,2013,Elsevier,358,27,27,7,7
189,Enhanced thermal stability of a lithiated nano-silicon electrode by fluoroethylene carbonate and vinylene carbonate,2013,Elsevier,725,27,38,5,7
188,High-energy-density lithium-ion battery using a carbon-nanotube–Si composite anode and a compositionally graded Li [Ni 0.85 Co 0.05 Mn 0.10] O 2 cathode,2016,pubs.rsc.org,372,47,38,5,4
188,A long-life lithium-ion battery with a highly porous TiNb 2 O 7 anode for large-scale electrical energy storage,2014,pubs.rsc.org,395,31.33,27,7,6
188,Nanoscale imaging of lithium ion distribution during in situ operation of battery electrode and electrolyte,2014,ACS Publications,658,31.33,38,5,6
188,Impact of recycling on cradle-to-gate energy consumption and greenhouse gas emissions of automotive lithium-ion batteries,2012,ACS Publications,837,23.5,47,4,8
188,Nano graphene reinforced nanocomposite particles for lithium battery electrodes,2013,Google Patents,869,26.86,63,3,7
188,A novel potassium‐ion‐based dual‐ion battery,2017,Wiley Online Library,981,62.67,47,4,3
188,A novel potassium‐ion‐based dual‐ion battery,2017,Wiley Online Library,675,62.67,47,4,3
187,Thermal analysis of a cylindrical lithium-ion battery,2011,Elsevier,98,20.78,187,1,9
187,Folding paper-based lithium-ion batteries for higher areal energy densities,2013,ACS Publications,952,26.71,27,7,7
187,Ultrafine Iron Pyrite (FeS2) Nanocrystals Improve Sodium–Sulfur and Lithium–Sulfur Conversion Reactions for Efficient Batteries,2015,ACS Publications,668,37.4,31,6,5
186,Lessons learned from the 787 Dreamliner issue on lithium-ion battery reliability,2013,mdpi.com,149,26.57,47,4,7
186,Ab initio molecular dynamics simulations of the initial stages of solid–electrolyte interphase formation on lithium ion battery graphitic anodes,2010,pubs.rsc.org,326,18.6,93,2,10
186,All-graphene-battery: bridging the gap between supercapacitors and lithium ion batteries,2014,nature.com,496,31,47,4,6
186,The state of charge estimation of lithium-ion batteries based on a proportional-integral observer,2013,ieeexplore.ieee.org,746,26.57,31,6,7
186,Core–Shell Ge@Graphene@TiO2 Nanofibers as a High‐Capacity and Cycle‐Stable Anode for Lithium and Sodium Ion Battery,2016,Wiley Online Library,897,46.5,37,5,4
185,Strain anisotropies and Self‐Limiting capacities in Single‐Crystalline 3D silicon microstructures: Models for high energy density Lithium‐Ion battery anodes,2011,Wiley Online Library,441,20.56,46,4,9
185,Recent advances in the electrolytes for interfacial stability of high-voltage cathodes in lithium-ion batteries,2015,pubs.rsc.org,736,37,37,5,5
184,A rocking chair type all-solid-state lithium ion battery adopting Li2O–ZrO2 coated LiNi0. 8Co0. 15Al0. 05O2 and a sulfide based electrolyte,2014,Elsevier,347,30.67,31,6,6
184,"Nondestructive detection, characterization, and quantification of lithium plating in commercial lithium-ion batteries",2014,Elsevier,816,30.67,92,2,6
183,Review of porous silicon preparation and its application for lithium-ion battery anodes,2013,iopscience.iop.org,206,26.14,46,4,7
183,"Electrochemically active, crystalline, mesoporous covalent organic frameworks on carbon nanotubes for synergistic lithium-ion battery energy storage",2015,nature.com,268,36.6,23,8,5
183,Experimental study of a passive thermal management system for high-powered lithium ion batteries using porous metal foam saturated with phase change materials,2014,Elsevier,871,30.5,46,4,6
182,Battery separators based on vinylidene fluoride (VDF) polymers and copolymers for lithium ion battery applications,2013,pubs.rsc.org,165,26,61,3,7
182,Core–Shell Structured Silicon Nanoparticles@TiO2–x/Carbon Mesoporous Microfiber Composite as a Safe and High-Performance Lithium-Ion Battery Anode,2014,ACS Publications,355,30.33,30,6,6
182,High capacity and excellent stability of lithium ion battery anode using interface-controlled binder-free multiwall carbon nanotubes grown on copper,2010,ACS Publications,378,18.2,30,6,10
182,Dendrite-free Li deposition using trace-amounts of water as an electrolyte additive,2015,Elsevier,190,36.4,36,5,5
181,A universal strategy for hollow metal oxide nanoparticles encapsulated into B/N Co‐doped graphitic nanotubes as high‐performance lithium‐ion battery anodes,2018,Wiley Online Library,124,90.5,36,5,2
181,"Transition metal dissolution, ion migration, electrocatalytic reduction and capacity loss in lithium-ion full cells",2017,iopscience.iop.org,922,60.33,60,3,3
180,A future perspective on lithium-ion battery waste flows from electric vehicles,2014,Elsevier,202,30,45,4,6
180,"Coordinate transformation, orthogonal collocation, model reformulation and simulation of electrochemical-thermal behavior of lithium-ion battery stacks",2011,iopscience.iop.org,301,20,45,4,9
179,Stable cycling of high-voltage lithium metal batteries in ether electrolytes,2018,nature.com,685,89.5,26,7,2
178,"Chemistry, impedance, and morphology evolution in solid electrolyte interphase films during formation in lithium ion batteries",2014,ACS Publications,795,29.67,45,4,6
178,"Chemistry, impedance, and morphology evolution in solid electrolyte interphase films during formation in lithium ion batteries",2014,ACS Publications,639,29.67,45,4,6
178,Artificial Solid Electrolyte Interphase-Protected LixSi Nanoparticles: An Efficient and Stable Prelithiation Reagent for Lithium-Ion Batteries,2015,ACS Publications,681,35.6,30,6,5
177,Kirigami-based stretchable lithium-ion batteries,2015,nature.com,905,35.4,22,8,5
177,A lithium–oxygen battery with a long cycle life in an air-like atmosphere,2018,nature.com,937,88.5,30,6,2
176,New horizons for conventional lithium ion battery technology,2014,ACS Publications,100,29.33,59,3,6
176,Lithium polyacrylate as a binder for tin–cobalt–carbon negative electrodes in lithium-ion batteries,2010,Elsevier,765,17.6,44,4,10
176,Silicon core–hollow carbon shell nanocomposites with tunable buffer voids for high capacity anodes of lithium-ion batteries,2012,pubs.rsc.org,771,22,29,6,8
176,Mesoporous nanostructured Co 3 O 4 derived from MOF template: a high-performance anode material for lithium-ion batteries,2015,pubs.rsc.org,904,35.2,25,7,5
175,Direct synthesis of CoO porous nanowire arrays on Ti substrate and their application as lithium-ion battery electrodes,2010,ACS Publications,174,17.5,25,7,10
175,Conversion reactions: a new pathway to realise energy in lithium-ion battery,2009,Springer,180,15.91,35,5,11
175,SnO 2/α-MoO 3 core-shell nanobelts and their extraordinarily high reversible capacity as lithium-ion battery anodes,2011,pubs.rsc.org,190,19.44,35,5,9
175,Micro-sized nano-porous Si/C anodes for lithium ion batteries,2015,Elsevier,705,35,35,5,5
174,A modularized two-stage charge equalizer with cell selection switches for series-connected lithium-ion battery string in an HEV,2012,ieeexplore.ieee.org,328,21.75,44,4,8
174,Beyond lithium ion batteries: higher energy density battery systems based on lithium metal anodes,2018,Elsevier,375,87,35,5,2
174,Enhanced rate performance of carbon-coated LiNi0. 5Mn1. 5O4 cathode material for lithium ion batteries,2011,Elsevier,272,19.33,44,4,9
174,Silicon nanowires coated with copper layer as anode materials for lithium-ion batteries,2011,Elsevier,516,19.33,44,4,9
173,Porous Co 3 O 4 nanoneedle arrays growing directly on copper foils and their ultrafast charging/discharging as lithium-ion battery anodes,2011,pubs.rsc.org,227,19.22,29,6,9
173,Ultra strong silicon-coated carbon nanotube nonwoven fabric as a multifunctional lithium-ion battery anode,2012,ACS Publications,282,21.63,35,5,8
172,"Large-scale fabrication, 3D tomography, and lithium-ion battery application of porous silicon",2014,ACS Publications,219,28.67,29,6,6
172,N-Doped Graphene–VO2(B) Nanosheet-Built 3D Flower Hybrid for Lithium Ion Battery,2013,ACS Publications,240,24.57,57,3,7
171,Lithium ion battery peformance of silicon nanowires with carbon skin,2014,ACS Publications,163,28.5,29,6,6
171,Graphene improving lithium-ion battery performance by construction of NiCo2O4/graphene hybrid nanosheet arrays,2014,Elsevier,237,28.5,34,5,6
171,Characterization of penetration induced thermal runaway propagation process within a large format lithium ion battery module,2015,Elsevier,253,34.2,24,7,5
171,Highly electrically conductive layered carbon derived from polydopamine and its functions in SnO 2-based lithium ion battery anodes,2012,pubs.rsc.org,265,21.38,24,7,8
171,Improvement of cyclability of Si as anode for Li-ion batteries,2009,Elsevier,250,15.55,29,6,11
171,Significant impact on cathode performance of lithium-ion batteries by precisely controlled metal oxide nanocoatings via atomic layer deposition,2014,Elsevier,574,28.5,24,7,6
171,Wet milled synthesis of an Sb/MWCNT nanocomposite for improved sodium storage,2013,pubs.rsc.org,640,24.43,43,4,7
170,Preparation and performance of gel polymer electrolyte based on electrospun polymer membrane and ionic liquid for lithium ion battery,2012,Elsevier,211,21.25,34,5,8
170,Solution-grown germanium nanowire anodes for lithium-ion batteries,2012,ACS Publications,976,21.25,43,4,8
170,Observation and quantification of nanoscale processes in lithium batteries by operando electrochemical (S) TEM,2015,ACS Publications,144,34,28,6,5
169,Interconnected porous MnO nanoflakes for high-performance lithium ion battery anodes,2012,pubs.rsc.org,115,21.13,24,7,8
169,Unsupported claims of ultrafast charging of LiFePO 4 Li-ion batteries,2009,ui.adsabs.harvard.edu,231,15.36,42,4,11
169,Improving the stability of nanostructured silicon thin film lithium-ion battery anodes through their controlled oxidation,2012,ACS Publications,295,21.13,34,5,8
169,Engineering hybrid between MnO and N-doped carbon to achieve exceptionally high capacity for lithium-ion battery anode,2014,ACS Publications,382,28.17,34,5,6
169,Hierarchical NiFe 2 O 4/Fe 2 O 3 nanotubes derived from metal organic frameworks for superior lithium ion battery anodes,2014,pubs.rsc.org,437,28.17,28,6,6
168,Macroporous polymer electrolytes based on PVDF/PEO-b-PMMA block copolymer blends for rechargeable lithium ion battery,2009,Elsevier,191,15.27,28,6,11
168,A high performance lithium-ion sulfur battery based on a Li 2 S cathode using a dual-phase electrolyte,2015,pubs.rsc.org,616,33.6,56,3,5
168,Novel layer-by-layer stacked VS2 nanosheets with intercalation pseudocapacitance for high-rate sodium ion charge storage,2017,Elsevier,750,56,24,7,3
168,Atomic-layer-deposition oxide nanoglue for sodium ion batteries,2014,ACS Publications,793,28,24,7,6
166,Comparison of different cooling methods for lithium ion battery cells,2016,Elsevier,145,41.5,33,5,4
166,Graphene–nanotube–iron hierarchical nanostructure as lithium ion battery anode,2013,ACS Publications,223,23.71,28,6,7
166,High-performance Li4Ti5− xVxO12 (0≤ x≤ 0.3) as an anode material for secondary lithium-ion battery,2009,Elsevier,312,15.09,24,7,11
165,Hybrid of Co3Sn2@Co Nanoparticles and Nitrogen-Doped Graphene as a Lithium Ion Battery Anode,2013,ACS Publications,394,23.57,33,5,7
164,High power lithium ion battery materials by computational design,2011,Wiley Online Library,148,18.22,82,2,9
164,Modelling the thermal behaviour of a lithium-ion battery during charge,2011,Elsevier,217,18.22,33,5,9
164,State-of-the-art characterization techniques for advanced lithium-ion batteries,2017,nature.com,640,54.67,55,3,3
164,A robust ion‐conductive biopolymer as a binder for Si anodes of lithium‐ion batteries,2015,Wiley Online Library,957,32.8,33,5,5
163,Li2S5-based ternary-salt electrolyte for robust lithium metal anode,2016,Elsevier,141,40.75,33,5,4
163,Rational design of three-dimensional graphene encapsulated with hollow FeP@ carbon nanocomposite as outstanding anode material for lithium ion and sodium ion …,2017,ACS Publications,695,54.33,33,5,3
163,Research progress towards understanding the unique interfaces between concentrated electrolytes and electrodes for energy storage applications,2017,Wiley Online Library,825,54.33,33,5,3
162,Computational fluid dynamic and thermal analysis of Lithium-ion battery pack with air cooling,2016,Elsevier,263,40.5,27,6,4
161,Structural changes in a commercial lithium-ion battery during electrochemical cycling: An in situ neutron diffraction study,2010,Elsevier,336,16.1,32,5,10
161,A review of recent developments in the surface modification of LiMn2O4 as cathode material of power lithium-ion battery,2009,Springer,368,14.64,27,6,11
161,Ultrafine Au nanoparticles decorated NiCo2O4 nanotubes as anode material for high-performance supercapacitor and lithium-ion battery applications,2014,Elsevier,424,26.83,54,3,6
161,Influence of the benzoquinone sorption on the structure and electrochemical performance of the MIL-53 (Fe) hybrid porous material in a lithium-ion battery,2009,ACS Publications,585,14.64,40,4,11
161,Review on modeling of the anode solid electrolyte interphase (SEI) for lithium-ion batteries,2018,nature.com,810,80.5,32,5,2
161,Review on modeling of the anode solid electrolyte interphase (SEI) for lithium-ion batteries,2018,nature.com,91,80.5,32,5,2
161,Polymer‐Templated Formation of Polydopamine‐Coated SnO2 Nanocrystals: Anodes for Cyclable Lithium‐Ion Batteries,2017,Wiley Online Library,145,53.67,27,6,3
161,Dual‐layered film protected lithium metal anode to enable dendrite‐free lithium deposition,2018,Wiley Online Library,643,80.5,32,5,2
160,… free-standing poly (propylene carbonate)/Li 6.75 La 3 Zr 1.75 Ta 0.25 O 12 composite solid electrolyte for wide temperature range and flexible solid lithium ion battery,2017,pubs.rsc.org,142,53.33,23,7,3
160,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,2014,Elsevier,183,26.67,27,6,6
160,Composite nonwoven separator for lithium-ion battery: Development and characterization,2010,Elsevier,213,16,32,5,10
160,A polymer scaffold binder structure for high capacity silicon anode of lithium-ion battery,2010,pubs.rsc.org,264,16,80,2,10
160,"A metal-free, lithium-ion oxygen battery: A step forward to safety in lithium-air batteries",2012,ACS Publications,604,20,27,6,8
160,Cobalt sulfide quantum dot embedded N/S-doped carbon nanosheets with superior reversibility and rate capability for sodium-ion batteries,2017,ACS Publications,295,53.33,23,7,3
160,Co-doped NiO nanoflake arrays toward superior anode materials for lithium ion batteries,2011,Elsevier,337,17.78,32,5,9
160,Boosting the potassium storage performance of alloy‐based anode materials via electrolyte salt chemistry,2018,Wiley Online Library,655,80,32,5,2
159,Synthesis of ultrathin Si nanosheets from natural clays for lithium-ion battery anodes,2016,ACS Publications,246,39.75,40,4,4
159,"A contribution to the progress of high energy batteries: A metal-free, lithium-ion, silicon–sulfur battery",2012,Elsevier,614,19.88,27,6,8
159,In situ and quantitative characterization of solid electrolyte interphases,2014,ACS Publications,802,26.5,32,5,6
158,Antimony-Doped SnO2 Nanopowders with High Crystallinity for Lithium-Ion Battery Electrode,2009,ACS Publications,288,14.36,40,4,11
158,Modeling the performance and cost of lithium-ion batteries for electric-drive vehicles,2012,osti.gov,752,19.75,40,4,8
158,Effect of fluoroethylene carbonate on high temperature capacity retention of LiMn2O4/graphite Li-ion cells,2010,Elsevier,157,15.8,26,6,10
158,Understanding high-energy-density Sn4P3 anodes for potassium-ion batteries,2018,Elsevier,168,79,40,4,2
158,Chemical distribution and bonding of lithium in intercalated graphite: Identification with optimized electron energy loss spectroscopy,2011,ACS Publications,209,17.56,23,7,9
158,Anode‐free rechargeable lithium metal batteries,2016,Wiley Online Library,764,39.5,32,5,4
158,Silicon/Mesoporous Carbon/Crystalline TiO2 Nanoparticles for Highly Stable Lithium Storage,2016,ACS Publications,826,39.5,23,7,4
157,"Sustainable, heat-resistant and flame-retardant cellulose-based composite separator for high-performance lithium ion battery",2014,nature.com,274,26.17,22,7,6
157,The gap between long lifespan Li-S coin and pouch cells: The importance of lithium metal anode protection,2017,Elsevier,996,52.33,22,7,3
156,An inorganic membrane as a separator for lithium-ion battery,2011,Elsevier,110,17.33,39,4,9
156,Engineering nanostructured anodes via electrostatic spray deposition for high performance lithium ion battery application,2013,pubs.rsc.org,228,22.29,78,2,7
156,A new SOH prediction concept for the power lithium-ion battery used on HEVs,2009,ieeexplore.ieee.org,245,14.18,52,3,11
156,State-of-the-art and energy management system of lithium-ion batteries in electric vehicle applications: Issues and recommendations,2018,ieeexplore.ieee.org,605,78,31,5,2
156,Observation of pseudocapacitive effect and fast ion diffusion in bimetallic sulfides as an advanced sodium‐ion battery anode,2018,Wiley Online Library,920,78,26,6,2
155,Reduced graphene oxide wrapped FeS nanocomposite for lithium-ion battery anode with improved performance,2013,ACS Publications,158,22.14,22,7,7
155,Simplification and order reduction of lithium-ion battery model based on porous-electrode theory,2012,Elsevier,248,19.38,52,3,8
155,High-Performance Lithium-Ion Battery and Symmetric Supercapacitors Based on FeCo2O4 Nanoflakes Electrodes,2014,ACS Publications,266,25.83,39,4,6
155,A systematic review of lumped-parameter equivalent circuit models for real-time estimation of lithium-ion battery states,2016,Elsevier,353,38.75,52,3,4
155,Using atomic layer deposition to hinder solvent decomposition in lithium ion batteries: first-principles modeling and experimental studies,2011,ACS Publications,558,17.22,31,5,9
154,Role of V2O5 coating on LiNiO2-based materials for lithium ion battery,2014,Elsevier,196,25.67,31,5,6
154,Lithium metal protection through in-situ formed solid electrolyte interphase in lithium-sulfur batteries: The role of polysulfides on lithium anode,2016,Elsevier,616,38.5,26,6,4
153,Branched Co3O4/Fe2O3 nanowires as high capacity lithium-ion battery anodes,2013,Springer,309,21.86,38,4,7
153,Fluoroethylene carbonate and vinylene carbonate reduction: Understanding lithium-ion battery electrolyte additives and solid electrolyte interphase formation,2016,ACS Publications,430,38.25,38,4,4
153,Highly enhanced light extraction from surface plasmonic loss minimized organic light‐emitting diodes,2013,Wiley Online Library,742,21.86,31,5,7
152,Integration issues of lithium-ion battery into electric vehicles battery pack,2016,Elsevier,133,38,51,3,4
152,Efficiently photo-charging lithium-ion battery by perovskite solar cell,2015,nature.com,144,30.4,51,3,5
152,Preparation and electrochemical performance of Li4Ti5O12/carbon/carbon nano-tubes for lithium ion battery,2010,Elsevier,201,15.2,38,4,10
152,The role of mechanically induced separator creep in lithium-ion battery capacity fade,2011,Elsevier,235,16.89,76,2,9
152,In situ synthesis of SnO2/graphene nanocomposite and their application as anode material for lithium ion battery,2010,Elsevier,272,15.2,25,6,10
152,A data-driven based adaptive state of charge estimator of lithium-ion polymer battery used in electric vehicles,2014,Elsevier,733,25.33,38,4,6
152,Superior stable and long life sodium metal anodes achieved by atomic layer deposition,2017,Wiley Online Library,106,50.67,38,4,3
151,Lithium-ion battery costs and market,2017,enerjiye.com,26,50.33,151,1,3
151,Lithium ion battery separators: development and performance characterization of a composite membrane,2013,Elsevier,233,21.57,76,2,7
